symbol,name,name_en,sector,sector_en,pe,pb,roe,dividend_yield,debt_equity,net_margin,current_ratio,shariah_debt_ratio,shariah_compliant,revenue_b,net_income_b,total_debt_b,total_assets_b
4014,دار المعدات,Dar Al Arkan Equipment,السلع الرأسمالية,Capital Goods,16.5,2.0,12.0,3.5,0.60,8.5,1.10,17.0,True,1.2,0.10,0.3,1.8
4015,جمجوم,Jamjoom Pharma,الأدوية,Pharma,28.0,7.5,26.8,2.0,0.18,25.0,1.85,5.0,True,2.8,0.70,0.18,3.5
4020,العقارية,Saudi Real Estate,إدارة وتطوير العقارات,Real Estate,18.0,0.8,4.5,3.5,0.42,18.0,1.55,12.0,True,2.5,0.45,0.8,6.5
4031,لوبريف,LUBEREF,الطاقة,Energy,12.0,3.8,32.0,6.5,0.52,18.0,1.25,15.0,True,8.2,1.48,3.5,23
4040,سيسكو القابضة,SISCO Holding,النقل,Transport,18.0,2.2,12.2,2.5,0.65,10.5,1.05,18.0,True,3.5,0.37,1.8,10
4050,ساسكو,SASCO,الطاقة,Energy,16.5,2.5,15.2,4.0,0.48,8.5,1.15,13.5,True,5.8,0.49,1.5,11
4061,أنعام القابضة,Anaam Holding,إنتاج الأغذية,Food Production,0,1.2,-3.5,0.0,0.75,-8.0,0.82,22.0,True,0.55,-0.04,0.15,0.68
4070,تهامة,Tihama,الإعلام والترفيه,Media & Entertainment,0,1.5,-10.0,0.0,0.92,-25.0,0.65,28.0,True,0.35,-0.09,0.12,0.42
4071,ثوب الأصيل,Thob Al Aseel,السلع المعمرة,Consumer Durables,15.0,2.2,14.8,4.5,0.18,12.0,1.85,5.0,True,0.85,0.10,0.04,0.78
4080,سناد القابضة,Sinad Holding,الخدمات التجارية,Commercial Services,20.0,1.8,9.0,2.5,0.35,8.5,1.40,10.0,True,0.65,0.06,0.08,0.78
4081,النايفات,Alnayifat,التمويل,Diversified Finance,12.0,2.5,21.0,5.5,1.80,28.0,1.15,42.0,False,0.85,0.24,0.95,2.25
4082,مرنة,Marnah,التمويل,Diversified Finance,18.0,3.2,17.8,3.0,1.50,22.0,1.08,38.0,False,0.45,0.10,0.52,1.35
4090,طيبة,Taiba,إدارة وتطوير العقارات,Real Estate,14.0,1.2,8.5,5.0,0.28,35.0,1.95,8.0,True,1.5,0.52,0.25,3.2
4100,مكة للإنشاء,Makkah Construction,إدارة وتطوير العقارات,Real Estate,16.0,1.0,6.2,4.5,0.15,42.0,2.20,4.5,True,0.85,0.36,0.08,1.8
4110,باعظيم,Bawan,السلع الرأسمالية,Capital Goods,11.5,2.0,17.5,5.5,0.45,6.5,1.25,13.0,True,4.2,0.27,0.85,6.5
4130,الباحة,Al Baha,الفنادق والسياحة,Hotels & Tourism,0,0.6,-12.0,0.0,0.55,-35.0,0.92,16.0,True,0.12,-0.04,0.02,0.15
4140,سداقة,Sadaqah,الخدمات التجارية,Commercial Services,25.0,3.5,14.0,2.0,0.32,10.0,1.30,9.0,True,0.42,0.04,0.04,0.42
4141,العمران,Al Omran,السلع الرأسمالية,Capital Goods,16.0,2.5,15.5,3.5,0.38,8.0,1.35,11.0,True,1.5,0.12,0.22,2.0
4142,كابلات الرياض,Riyadh Cables,السلع الرأسمالية,Capital Goods,14.0,4.5,32.0,4.5,0.28,10.5,1.20,8.0,True,5.8,0.61,0.5,6.2
4150,التصنيع المتقدمة,SIIG,المواد الأساسية,Materials,12.0,1.5,12.5,4.0,0.55,14.0,1.35,16.0,True,2.5,0.35,0.8,5.0
4160,ثمار,Thamar,إنتاج الأغذية,Food Production,0,0.9,-5.0,0.0,0.62,-12.0,0.88,18.0,True,0.35,-0.04,0.08,0.42
4161,بن داود,BinDawood,التجزئة,Retail,28.0,3.8,13.5,2.0,0.25,4.2,0.85,7.0,True,8.5,0.36,0.8,11.5
4162,المنجم,Alhokair Food,التجزئة,Retail,22.0,5.0,22.8,2.5,0.48,5.0,0.82,13.5,True,4.2,0.21,0.8,5.8
4163,الدواء,Nahdi Medical,التجزئة,Retail,35.0,12.0,34.5,1.5,0.42,8.5,0.92,11.0,True,12.5,1.06,2.5,22.5
4164,النهدي,Nahdi Pharmacy,الأدوية,Pharma,32.0,10.5,32.8,1.8,0.38,9.0,0.95,10.0,True,11.8,1.06,2.2,22
4170,شمس,Shams,السلع المعمرة,Consumer Durables,14.5,1.8,12.5,4.0,0.42,5.5,1.25,12.0,True,1.2,0.07,0.15,1.2
4180,فتيحي,Fitaihi,السلع المعمرة,Consumer Durables,18.0,1.2,6.5,3.5,0.10,15.0,2.80,2.5,True,0.35,0.05,0.01,0.42
4191,معادن,Maaden,المواد الأساسية,Materials,22.0,2.2,10.0,1.8,0.58,10.5,1.42,16.5,True,38,3.8,18,110
4192,الأحساء للتنمية,ALHASA Dev,إدارة وتطوير العقارات,Real Estate,15.0,0.9,6.0,4.0,0.20,25.0,1.75,6.0,True,0.45,0.11,0.04,0.65
4220,إيكاروس,Emaar EC,إدارة وتطوير العقارات,Real Estate,12.5,1.5,12.0,5.5,0.42,20.0,1.35,12.5,True,2.2,0.44,0.6,4.8
4230,دار الأركان,Dar Al Arkan,إدارة وتطوير العقارات,Real Estate,8.5,0.9,10.5,0.0,0.72,22.0,1.45,20.0,True,8.5,1.0,5.2,26
4240,فاكيرا,Fakieh Poultry,إنتاج الأغذية,Food Production,16.0,2.0,12.5,3.0,0.45,6.0,1.15,13.0,True,2.8,0.17,0.5,3.8
4250,بيشة الزراعية,Bishah Agriculture,إنتاج الأغذية,Food Production,0,0.7,-4.0,0.0,0.30,-10.0,1.20,8.0,True,0.18,-0.02,0.02,0.22
4270,العالمية,Saudi Automotive,التجزئة,Retail,14.0,2.8,20.0,4.5,0.48,6.0,1.10,13.5,True,6.5,0.39,1.2,9.0
4280,المملكة القابضة,Kingdom Holding,استثمارات قابضة,Holding Companies,15.0,1.2,8.0,2.0,0.35,25.0,1.85,10.0,True,12.5,3.12,3.2,32
4290,الخليج للتدريب,Gulf Training,الخدمات التجارية,Commercial Services,20.0,3.5,17.5,2.5,0.28,12.0,1.35,8.0,True,0.75,0.09,0.06,0.72
4291,الوطنية للتعليم,NELC,الخدمات التجارية,Commercial Services,22.0,4.0,18.2,2.0,0.55,15.0,1.05,16.0,True,2.5,0.38,0.9,5.5
4292,المعرفة,Knowledge,الخدمات التجارية,Commercial Services,18.0,3.0,16.8,3.0,0.32,14.0,1.25,9.0,True,1.2,0.17,0.15,1.65
4300,دار المعدات الطبية,Dar Al Arkan Medical,المعدات الصحية,Healthcare,20.0,3.0,15.0,2.5,0.48,10.0,1.15,14.0,True,1.8,0.18,0.3,2.1
4320,الأندلس,Alandalus,إدارة وتطوير العقارات,Real Estate,12.0,1.1,9.2,6.0,0.38,32.0,1.65,11.0,True,0.55,0.18,0.12,1.1
4322,جدوى ريت الحرمين,Jadwa REIT Haramain,صناديق الريت,REITs,15.0,0.92,6.2,6.8,0.42,50.0,1.55,16.0,True,0.52,0.26,1.2,7.5
4323,المعذر ريت,Almaather REIT,صناديق الريت,REITs,18.0,0.85,4.7,5.8,0.35,45.0,1.70,14.0,True,0.28,0.13,0.5,3.5
4324,بنيان ريت,Bonyan REIT,صناديق الريت,REITs,14.5,0.90,6.2,7.0,0.38,52.0,1.75,13.0,True,0.35,0.22,0.72,5.5
4330,الرياض ريت 2,Riyad REIT II,صناديق الريت,REITs,16.0,0.88,5.5,6.5,0.40,48.0,1.60,15.0,True,0.32,0.16,0.65,4.3
4331,مشاركة ريت 2,Musharaka REIT II,صناديق الريت,REITs,17.0,0.82,4.8,6.2,0.42,46.0,1.58,16.5,True,0.25,0.12,0.55,3.3
4332,جبل عمر ريت,Jabal Omar REIT,صناديق الريت,REITs,20.0,0.95,4.8,5.5,0.52,40.0,1.35,18.5,True,0.48,0.10,1.5,8.0
4333,تعليم ريت,Taleem REIT,صناديق الريت,REITs,15.5,0.92,5.9,6.5,0.32,52.0,1.80,12.0,True,0.42,0.22,0.6,5.0
4334,ملكية ريت,Mulkia REIT,صناديق الريت,REITs,16.5,0.90,5.5,6.8,0.38,50.0,1.70,14.0,True,0.38,0.19,0.65,4.6
4335,إنجازات ريت,Enjaz REIT,صناديق الريت,REITs,18.5,0.86,4.6,5.5,0.45,44.0,1.52,16.0,True,0.30,0.13,0.58,3.6
4336,الراجحي ريت,Al Rajhi REIT,صناديق الريت,REITs,13.5,0.98,7.3,7.5,0.32,56.0,1.85,12.0,True,0.55,0.30,0.8,6.5
4337,الأهلي ريت,Alaahli REIT,صناديق الريت,REITs,15.0,0.94,6.3,7.0,0.35,54.0,1.78,13.0,True,0.48,0.25,0.7,5.2
4338,الجزيرة ريت,Aljazira REIT,صناديق الريت,REITs,17.5,0.87,5.0,6.0,0.40,47.0,1.62,15.0,True,0.32,0.15,0.55,3.6
4339,وفرة ريت,Wafrah REIT,صناديق الريت,REITs,16.0,0.91,5.7,6.5,0.36,51.0,1.72,14.0,True,0.36,0.18,0.58,4.1
4340,الأول ريت,Alawal REIT,صناديق الريت,REITs,14.0,0.96,6.9,7.2,0.34,55.0,1.82,12.5,True,0.50,0.28,0.75,6.0
4342,سيرا القابضة,SEERA Group,الفنادق والسياحة,Hotels & Tourism,22.0,2.5,11.5,1.5,0.65,8.0,0.95,18.0,True,5.5,0.44,2.8,15.5
4344,سدافكو,SADAFCO,إنتاج الأغذية,Food Production,18.5,5.5,30.0,3.8,0.18,10.0,1.42,5.0,True,3.2,0.32,0.15,3.0
4345,الشرقية للتنمية,Eastern Dev,إدارة وتطوير العقارات,Real Estate,14.0,0.85,6.0,5.5,0.22,28.0,1.90,6.5,True,0.35,0.10,0.04,0.55
4346,سوليدرتي السعودية,Saudi Solidarity,التأمين,Insurance,12.0,1.8,15.0,3.5,0.35,6.0,1.25,9.5,True,2.8,0.17,0.35,3.5
4347,فلكس,Flax,الخدمات التجارية,Commercial Services,30.0,6.0,20.0,1.0,0.22,18.0,1.55,6.0,True,0.65,0.12,0.04,0.65
5110,السعودية للكهرباء,SEC,المرافق العامة,Utilities,15.0,1.2,8.0,3.5,1.25,10.0,0.65,32.0,True,72,7.2,185,580
6001,حلواني إخوان,Halwani Bros 2,إنتاج الأغذية,Food Production,14.0,2.2,15.8,4.0,0.35,7.0,1.30,10.0,True,2.0,0.14,0.25,2.5
6002,هرفي للأغذية,Herfy Food,التجزئة,Retail,18.0,3.5,19.5,4.0,0.28,10.0,1.15,8.0,True,1.8,0.18,0.15,1.9
6004,كاتريون,Catrion,الفنادق والسياحة,Hotels & Tourism,20.0,6.5,32.5,3.0,0.35,12.0,1.05,10.0,True,3.5,0.42,0.5,5.0
6012,ريدان,Raydan Food,إنتاج الأغذية,Food Production,0,0.8,-8.0,0.0,0.85,-15.0,0.72,25.0,True,0.55,-0.08,0.18,0.72
6013,التنمية الغذائية,Taiba Food,إنتاج الأغذية,Food Production,22.0,2.0,9.0,2.5,0.42,6.5,1.20,12.0,True,0.85,0.06,0.12,1.0
6014,الآمار,Al Amar,إنتاج الأغذية,Food Production,18.5,1.8,9.8,3.0,0.30,8.0,1.40,8.5,True,0.42,0.04,0.04,0.45
6015,أمريكانا,Americana,التجزئة,Retail,32.0,8.0,25.0,2.5,0.35,12.0,1.08,9.5,True,8.5,1.02,1.8,19
6040,تبوك الزراعية,Tabuk Agriculture,إنتاج الأغذية,Food Production,0,0.9,-3.5,0.0,0.42,-8.0,1.05,12.0,True,0.35,-0.03,0.05,0.42
6050,السعودية للأسماك,Saudi Fisheries,إنتاج الأغذية,Food Production,0,0.7,-6.0,0.0,0.55,-18.0,0.85,16.0,True,0.15,-0.03,0.04,0.22
6060,الشرقية للتنمية الزراعية,SADC,إنتاج الأغذية,Food Production,16.0,1.5,9.5,3.5,0.28,10.0,1.50,7.5,True,0.75,0.07,0.06,0.78
6070,الدواجن,Al Watania Poultry,إنتاج الأغذية,Food Production,22.0,2.8,12.5,2.0,0.48,5.0,1.10,14.0,True,2.5,0.12,0.5,3.5
6090,جازادكو,JAZADCO,إنتاج الأغذية,Food Production,14.5,1.2,8.2,4.0,0.18,12.0,1.65,5.0,True,0.32,0.04,0.02,0.38
7020,الاتصالات المتكاملة,ITC,الاتصالات,Telecom,0,2.5,-5.0,0.0,1.15,-15.0,0.62,32.0,True,5.5,-0.82,3.5,11
7030,زين السعودية,Zain KSA,الاتصالات,Telecom,35.0,3.0,8.5,0.0,1.05,5.0,0.55,28.0,True,8.5,0.42,5.8,20.5
7040,موبايلي,Mobily,الاتصالات,Telecom,18.0,2.2,12.2,3.5,0.72,10.0,0.70,22.0,True,15.5,1.55,8.5,38.5
7200,الدباغ,Alhokair Fashion,التجزئة,Retail,0,1.8,-15.0,0.0,1.50,-20.0,0.55,38.0,False,3.5,-0.70,3.2,8.5
7201,جاهز,Jahez,البرمجيات والخدمات,Software & Services,0,5.5,-18.0,0.0,0.42,-25.0,1.15,11.0,True,2.8,-0.70,0.5,4.5
7202,فودكس,Foodics,البرمجيات والخدمات,Software & Services,0,8.0,-12.0,0.0,0.28,-30.0,1.35,7.0,True,0.45,-0.14,0.04,0.55
7203,لوسيديا,Lucidya,البرمجيات والخدمات,Software & Services,0,6.5,-15.0,0.0,0.35,-35.0,1.25,8.5,True,0.22,-0.08,0.02,0.28
7204,توق,Tawq,البرمجيات والخدمات,Software & Services,42.0,10.0,24.0,0.0,0.18,20.0,1.75,4.5,True,0.35,0.07,0.02,0.38
8010,التعاونية,Tawuniya,التأمين,Insurance,14.0,2.5,18.0,4.5,0.38,7.5,1.15,10.5,True,25,1.78,4.5,42
